task_id,asset_id,location_km,corridor_id,defect_type,severity,duration_minutes,overdue_days,asset_criticality,safety_impact,requires_isolation,due_date
TDMS-001,OHE-001,124.7,C124,Catenary issue,4,120,5,5,4,True,2026-09-08
TDMS-002,OHE-002,127.2,C124,OHE wire damage,4,120,0,3,4,False,2026-09-12
TDMS-003,OHE-003,128.6,C124,OHE wire damage,2,90,0,3,1,False,2026-09-12
TDMS-004,OHE-004,129.4,C124,Mast foundation issue,5,150,0,5,3,False,2026-09-04
TDMS-005,OHE-005,122.0,C124,Pantograph interaction issue,1,60,0,1,1,True,2026-09-08
TDMS-006,OHE-006,122.9,C124,Insulator defect,3,120,1,3,2,True,2026-09-09
TDMS-007,OHE-007,205.4,C130,Pantograph interaction issue,3,150,0,3,5,False,2026-09-12
TDMS-008,OHE-008,210.3,C130,OHE wire damage,5,150,0,4,4,True,2026-09-09
TDMS-009,OHE-009,214.5,C130,Mast foundation issue,2,120,0,5,5,True,2026-09-07
TDMS-010,OHE-010,200.8,C130,OHE wire damage,4,90,0,1,2,True,2026-09-12
TDMS-011,OHE-011,203.0,C130,Catenary issue,4,60,0,5,3,True,2026-09-06
TDMS-012,OHE-012,213.0,C130,Pantograph interaction issue,3,60,0,2,1,True,2026-09-09
TDMS-013,OHE-013,305.3,C145,Pantograph interaction issue,5,150,0,5,5,True,2026-09-05
TDMS-014,OHE-014,310.4,C145,Pantograph interaction issue,4,90,0,5,3,False,2026-09-06
TDMS-015,OHE-015,308.1,C145,OHE wire damage,3,120,13,5,5,False,2026-09-12
TDMS-016,OHE-016,301.4,C145,Catenary issue,1,120,0,5,5,True,2026-09-04
TDMS-017,OHE-017,303.3,C145,OHE wire damage,4,60,0,5,3,True,2026-09-12
TDMS-018,OHE-018,303.2,C145,OHE wire damage,5,150,0,3,2,False,2026-09-12
TDMS-019,OHE-019,405.1,C160,Insulator defect,3,150,0,5,3,True,2026-09-07
TDMS-020,OHE-020,408.4,C160,Catenary issue,4,90,0,5,5,True,2026-09-05
TDMS-021,OHE-021,401.8,C160,OHE wire damage,4,150,0,4,4,False,2026-09-04
TDMS-022,OHE-022,401.1,C160,Mast foundation issue,1,60,0,5,1,True,2026-09-05
TDMS-023,OHE-023,400.7,C160,OHE wire damage,5,60,11,3,5,True,2026-09-08
TDMS-024,OHE-024,402.7,C160,Mast foundation issue,4,150,0,1,4,True,2026-09-12
TDMS-025,OHE-025,505.2,C175,Mast foundation issue,5,150,11,3,4,False,2026-09-09
TDMS-026,OHE-026,510.5,C175,Pantograph interaction issue,3,150,1,3,5,False,2026-09-10
TDMS-027,OHE-027,508.1,C175,Insulator defect,2,90,0,3,2,True,2026-09-06
TDMS-028,OHE-028,514.2,C175,Pantograph interaction issue,1,150,0,1,3,True,2026-09-08
TDMS-029,OHE-029,513.6,C175,Catenary issue,2,150,0,3,2,True,2026-09-05
TDMS-030,OHE-030,507.7,C175,OHE wire damage,5,60,0,3,4,False,2026-09-09
